1208320A:2	protein_1213	100	16	0	0	1	16	70	85	2.27e-06	36.6
1208320A:2	protein_1391	100	16	0	0	1	16	67	82	2.27e-06	36.6
P11021.2:8	protein_2881	100	21	0	0	1	21	204	224	2.92e-09	45.1
P11021.2:8	protein_2098	72.7	22	5	1	1	21	178	199	1.38e-05	34.7
P11021.2:8	protein_107	71.4	21	6	0	1	21	150	170	2.34e-04	31.2
P11021.2:8	protein_2785	71.4	21	5	1	1	21	174	193	6.02e-04	30.0
Q58HT7.1:28	protein_2704	100	27	0	0	1	27	1783	1809	4.44e-13	56.2
Q58HT7.1:28	protein_767	81.5	27	5	0	1	27	1815	1841	1.24e-10	49.3
Q58HT7.1:28	protein_151	81.5	27	5	0	1	27	1814	1840	1.69e-10	48.9
Q58HT7.1:28	protein_1546	81.5	27	5	0	1	27	1809	1835	5.93e-10	47.4
Q58HT7.1:28	protein_73	60.9	23	9	0	2	24	1805	1827	3.53e-05	33.9
AHG06382.1:2	protein_2704	89.5	19	2	0	1	19	1783	1801	3.86e-07	38.9
AHG06382.1:2	protein_767	84.2	19	3	0	1	19	1815	1833	1.35e-06	37.4
AHG06382.1:2	protein_151	84.2	19	3	0	1	19	1814	1832	1.85e-06	37.0
AHG06382.1:2	protein_1546	84.2	19	3	0	1	19	1809	1827	3.47e-06	36.2
CAB96876.2:4	protein_1061	84.6	26	4	0	1	26	90	115	1.32e-11	50.1
CAB96876.2:4	protein_720	48.0	25	13	0	1	25	89	113	3.30e-04	30.8
P00698.1:2	protein_1337	50.0	28	14	0	1	28	27	54	6.35e-06	35.8
ANI26330.1:12	protein_641	100	34	0	0	1	34	172	205	2.11e-17	68.9
296798:2	protein_2905	87.5	16	2	0	1	16	133	148	2.71e-05	33.5
CAE55648.1:2	protein_593	100	15	0	0	1	15	13	27	8.39e-04	28.9
CAA98350.1:2	protein_1611	100	24	0	0	1	24	10	33	4.00e-08	42.0
ACX32376.1:5	protein_1949	100	13	0	0	1	13	206	218	3.13e-05	33.1
P59594.1:11	protein_130	100	22	0	0	1	22	249	270	7.10e-11	49.7
