1208320A:2	PositiveID_128173	100	16	0	0	1	16	1	16	1.17e-07	36.6
1208320A:2	NegativeID_170257	100	14	0	0	3	16	1	14	1.94e-06	33.5
1208320A:2	NegativeID_171991	100	14	0	0	1	14	2	15	3.90e-06	32.7
1208320A:2	NegativeID_171348	100	13	0	0	4	16	1	13	7.84e-06	32.0
1208320A:2	NegativeID_171349	100	13	0	0	4	16	1	13	7.84e-06	32.0
1208320A:2	NegativeID_171994	92.9	14	1	0	1	14	2	15	1.57e-05	31.2
1208320A:2	NegativeID_170309	100	13	0	0	1	13	3	15	2.23e-05	30.8
1208320A:2	NegativeID_171641	100	12	0	0	1	12	4	15	1.27e-04	28.9
P11021.2:8	NegativeID_167242	100	17	0	0	1	17	4	20	7.31e-08	37.4
CAB96876.2:4	PositiveID_24084	100	15	0	0	12	26	2	16	1.57e-06	34.3
CAB96876.2:4	PositiveID_38505	85.7	14	2	0	4	17	1	14	9.14e-06	32.3
CAB96876.2:4	PositiveID_30057	80.0	15	3	0	7	21	1	15	1.84e-05	31.6
CAB96876.2:4	PositiveID_50121	92.9	14	1	0	13	26	1	14	2.65e-05	31.2
CAE55648.1:2	PositiveID_60	100	15	0	0	1	15	1	15	1.19e-04	28.9
CAE55648.1:2	PositiveID_10984	100	15	0	0	1	15	2	16	1.20e-04	28.9
P59594.1:11	NegativeID_66612	100	11	0	0	12	22	1	11	3.44e-04	28.1
AAA61216.1:11	PositiveID_130561	100	22	0	0	163	184	1	22	7.80e-11	51.2
AAA61216.1:11	PositiveID_127271	100	19	0	0	189	207	1	19	1.33e-08	45.1
AAA61216.1:11	PositiveID_126918	100	19	0	0	79	97	1	19	1.84e-08	44.7
AAA61216.1:11	PositiveID_126819	100	17	0	0	143	159	1	17	4.82e-08	43.5
AAA61216.1:11	PositiveID_125667	100	19	0	0	117	135	1	19	9.00e-08	42.7
AAA61216.1:11	NegativeID_535776	100	15	0	0	151	165	1	15	6.21e-07	40.4
AAA61216.1:11	PositiveID_122377	100	19	0	0	170	188	1	19	1.13e-06	39.7
AAA61216.1:11	NegativeID_535569	100	15	0	0	138	152	1	15	1.17e-06	39.7
AAA61216.1:11	NegativeID_537087	100	15	0	0	163	177	1	15	1.60e-06	39.3
AAA61216.1:11	NegativeID_536155	100	15	0	0	139	153	1	15	1.60e-06	39.3
AAA61216.1:11	PositiveID_125858	100	16	0	0	89	104	1	16	2.17e-06	38.9
AAA61216.1:11	NegativeID_536784	100	15	0	0	157	171	1	15	2.19e-06	38.9
AAA61216.1:11	NegativeID_536002	100	15	0	0	144	158	1	15	2.19e-06	38.9
AAA61216.1:11	PositiveID_122728	100	19	0	0	179	197	1	19	2.92e-06	38.5
AAA61216.1:11	PositiveID_536930	100	15	0	0	196	210	1	15	3.00e-06	38.5
AAA61216.1:11	NegativeID_538412	100	15	0	0	165	179	1	15	3.00e-06	38.5
AAA61216.1:11	NegativeID_536156	100	15	0	0	199	213	1	15	4.11e-06	38.1
AAA61216.1:11	PositiveID_535250	100	15	0	0	133	147	1	15	5.63e-06	37.7
